 m0 m1 h0 h1 h2 h3
0 -10.0 -10.0 0.0 0.0 0.0 3730
1 -10.0 -9.0 0 0.0 0.0 2975
2 -10.0 -8.0 0 0.0 0.0 2316
3 -10.0 -7.0 0 0.0 0.0 1749
4 -10.0 -6.0 0 0.0 0.0 1270
5 -10.0 -5.0 0 0.0 0.0 875
6 -10.0 -4.0 0 0.0 0.0 560
7 -10.0 -3.0 0 0.0 0.0 321
8 -10.0 -2.0 0 0.0 0.0 154
9 -10.0 -1.0 0 0.0 0.0 55
10 -10.0 0.0 0 9.0 0.0 11
11 -10.0 1.0 0 45.0 0.0 0
12 -10.0 2.0 0 126 0.0 0
13 -10.0 3.0 0 259 0 0
14 -10.0 4.0 0 440 0 0
15 -10.0 5.0 0 665 0 0
16 -10.0 6.0 0 930 0 0
17 -10.0 7.0 0 1231 0 0
18 -10.0 8.0 0 1564 0 0
19 -10.0 9.0 0 1925 0 0
20 -10.0 10.0 0 2310 0 0
21 -9.0 -10.0 0 0 0 3428
22 -9.0 -9.0 0 0 0 2730
23 -9.0 -8.0 0 0 0 2122
24 -9.0 -7.0 0 0 0 1600
25 -9.0 -6.0 0 0 0 1160
26 -9.0 -5.0 0 0 0 798
27 -9.0 -4.0 0 0 0 510
28 -9.0 -3.0 0 0 0 292
29 -9.0 -2.0 0 0 0 140
30 -9.0 -1.0 0 0 0 50
31 -9.0 0.0 0 8 0 10
32 -9.0 1.0 0 40 0 0
33 -9.0 2.0 0 112 0 0
34 -9.0 3.0 0 230 0 0
35 -9.0 4.0 0 390 0 0
36 -9.0 5.0 0 588 0 0
37 -9.0 6.0 0 820 0 0
38 -9.0 7.0 0 1082 0 0
39 -9.0 8.0 0 1370 0 0
40 -9.0 9.0 0 1680 0 0
41 -9.0 10.0 0 2008 0 0
42 -8.0 -10.0 0 0 0 3126
43 -8.0 -9.0 0 0 0 2485
44 -8.0 -8.0 0 0 0 1928
45 -8.0 -7.0 0 0 0 1451
46 -8.0 -6.0 0 0 0 1050
47 -8.0 -5.0 0 0 0 721
48 -8.0 -4.0 0 0 0 460
49 -8.0 -3.0 0 0 0 263
50 -8.0 -2.0 0 0 0 126
51 -8.0 -1.0 0 0 0 45
52 -8.0 0.0 0 7 0 9
53 -8.0 1.0 0 35 0 0
54 -8.0 2.0 0 98 0 0
55 -8.0 3.0 0 201 0 0
56 -8.0 4.0 0 340 0 0
57 -8.0 5.0 0 511 0 0
58 -8.0 6.0 0 710 0 0
59 -8.0 7.0 0 933 0 0
60 -8.0 8.0 0 1176 0 0
61 -8.0 9.0 0 1435 0 0
62 -8.0 10.0 0 1706 0 0
63 -7.0 -10.0 0 0 0 2824
64 -7.0 -9.0 0 0 0 2240
65 -7.0 -8.0 0 0 0 1734
66 -7.0 -7.0 0 0 0 1302
67 -7.0 -6.0 0 0 0 940
68 -7.0 -5.0 0 0 0 644
69 -7.0 -4.0 0 0 0 410
70 -7.0 -3.0 0 0 0 234
71 -7.0 -2.0 0 0 0 112
72 -7.0 -1.0 0 0 0 40
73 -7.0 0.0 0 6 0 8
74 -7.0 1.0 0 30 0 0
75 -7.0 2.0 0 84 0 0
76 -7.0 3.0 0 172 0 0
77 -7.0 4.0 0 290 0 0
78 -7.0 5.0 0 434 0 0
79 -7.0 6.0 0 600 0 0
80 -7.0 7.0 0 784 0 0
81 -7.0 8.0 0 982 0 0
82 -7.0 9.0 0 1190 0 0
83 -7.0 10.0 0 1404 0 0
84 -6.0 -10.0 0 0 0 2522
85 -6.0 -9.0 0 0 0 1995
86 -6.0 -8.0 0 0 0 1540
87 -6.0 -7.0 0 0 0 1153
88 -6.0 -6.0 0 0 0 830
89 -6.0 -5.0 0 0 0 567
90 -6.0 -4.0 0 0 0 360
91 -6.0 -3.0 0 0 0 205
92 -6.0 -2.0 0 0 0 98
93 -6.0 -1.0 0 0 0 35
94 -6.0 0.0 0 5 0 7
95 -6.0 1.0 0 25 0 0
96 -6.0 2.0 0 70 0 0
97 -6.0 3.0 0 143 0 0
98 -6.0 4.0 0 240 0 0
99 -6.0 5.0 0 357 0 0
100 -6.0 6.0 0 490 0 0
101 -6.0 7.0 0 635 0 0
102 -6.0 8.0 0 788 0 0
103 -6.0 9.0 0 945 0 0
104 -6.0 10.0 0 1102 0 0
105 -5.0 -10.0 0 0 0 2220
106 -5.0 -9.0 0 0 0 1750
107 -5.0 -8.0 0 0 0 1346
108 -5.0 -7.0 0 0 0 1004
109 -5.0 -6.0 0 0 0 720
110 -5.0 -5.0 0 0 0 490
111 -5.0 -4.0 0 0 0 310
112 -5.0 -3.0 0 0 0 176
113 -5.0 -2.0 0 0 0 84
114 -5.0 -1.0 0 0 0 30
115 -5.0 0.0 0 4 0 6
116 -5.0 1.0 0 20 0 0
117 -5.0 2.0 0 56 0 0
118 -5.0 3.0 0 114 0 0
119 -5.0 4.0 0 190 0 0
